SEQID,PERTID,BAND,RTP,RA,DEC,SEEING,MJD,AIRMASS,ALTITUDE,AZIMUTH,ZENITH,DOF
1,1,z,-6.882884,198.654488,-38.882127,0.63697,63048.057619,1.114567,64.09888,242.04107,25.90112,"[0.0417262833393804,0.0312696851615973,-0.1560728849758756,-0.171019979739346,-0.0139078630997995,-0.1639662869140671,-0.0018101161038741,-0.2177461600849961,0.0169005265824466,-0.0172502676218903,0.076605666142148,-0.1416044451244902,0.083301333688766,0.073149428123903,0.1329851092257589,-0.0829313015951355,0.1779774207722108,-0.0059351333424676,0.0190261085740936,-0.0345612400827646,0.0584009780632004,-0.1070375140142435,-0.0454351380325498,-0.0902619366426421,-0.0809456463397016,0.2123095707740492,-0.0884664920187525,-0.0589506324363864,0.0194559334128387,-0.0199884409549851,0.13554813177445,-0.2456822255674937,0.0024180554151605,-0.0858990593698546,-0.2131525014750644,-0.18511145991038,-0.2741088702882997,0.0260246382123957,-0.0207569282052858,0.1345473576231325,0.0505567350834912,0.1167517383778618,-0.1136255000906261,0.1312046551925041,0.0528444494583261,0.0084666288631947,-0.0671169859408361,-0.0704743577822861,-0.077167652635327,-0.0076874424419814]"
2,2,r,-30.226022,130.338388,17.534539,0.771757,62921.268707,2.614653,22.884637,308.448848,67.115363,"[-0.1238237550354739,0.1825011837107205,-0.0160514464387607,0.104660363241513,0.166012796860192,0.2696043065094963,-0.2191518893026038,0.2146431697451063,-0.3163974699421948,-0.189881583116185,-0.1860889780978737,-0.1937262701856087,0.1213754658342035,-0.1880759583157623,0.0658172918198428,0.0355638473074085,-0.2342384952995525,-0.2562970553467904,0.1158170682907322,-0.0450912085141464,-0.3243554778904168,-0.2801864244573547,0.1685266992077262,-0.3392716920044316,-0.2771536395257453,-0.3892817631021669,-0.0504732799336161,0.0854978651195134,-0.142805778938263,-0.0134469395315143,0.2036921978200701,0.2589210057835312,0.114902765807128,0.2728334441819863,0.0830281199777429,-0.0174089416558249,0.063573109330552,0.1455427636304506,0.0805836249804137,-0.0898192298966557,0.1201748290728266,0.5130688268911074,-0.002946339972851,-0.0631438091591299,-0.0297074238067344,0.0812275544905283,0.2222955532095391,0.0316180764914526,0.0686193265121973,-0.120783745365957]"
3,3,r,-57.370155,172.279844,-67.171991,0.857946,63984.200804,1.463059,42.919157,156.437189,47.080843,"[0.1419110235203176,-0.1346390633081378,0.1497559111173647,-0.0694737753502099,-0.0917327849984991,-0.2475715065759764,0.1068052362681931,0.0953659328936059,0.0365094993188425,-0.2800669913951217,-0.4122415406019742,-0.3369323322010271,-0.0171669150850847,-0.069405181989992,-0.0072661797844494,-0.093029719507168,-0.0049477703068791,0.3156192519239137,0.1076511495476484,0.1296172231259431,-0.0535746646236631,-0.270547476915242,-0.1158744362741064,-0.0636891110249429,-0.0228560364701781,-0.2032731107346306,0.1274903523764982,-0.1150554345681055,-0.1001254747082423,0.0760030759601159,-0.0099259853153421,-0.0981190426896806,0.1186549112959016,0.0092947818520787,0.1078006291311407,-0.0154693695043176,-0.0877853241540991,0.0980230677158053,-0.3453568998086694,-0.0441558167483035,-0.0805423954301509,0.0299516704539568,-0.1460962497331016,-0.0909395792315824,0.0793623785260807,0.0128761842204428,0.1131511744510983,0.1485773741329699,0.0213885288192106,-0.1071729356798674]"
4,4,y,-52.347241,228.809867,-33.124112,0.610138,62576.263698,1.114887,63.391302,104.630958,26.608698,"[0.2125285672643418,-0.1580819491878287,0.288210677351345,-0.2331727537827715,0.2216770874487085,0.0121182407236234,-0.0161701732036256,0.1734526741269763,-0.1681986729843787,-0.254671545442978,0.3197223200093716,0.1164014119321996,-0.1753462267486793,0.0325228240864994,-0.1025688636531433,0.0329885613478298,-0.3061047610365004,-0.0643803836652767,0.1628566884385038,0.053904817885967,-0.0114560851864088,0.2262789208401562,0.2188988787173735,-0.0595548997068553,-0.2156256462216703,-0.2346770178333238,-0.1058252811694904,-0.0356321386034934,0.064983199982061,0.2653520423697409,-0.0913640483689306,-0.1784379139300189,-0.1290704993076068,-0.138131119521906,0.1794389566905992,0.1106697677537718,-0.2705207238416627,0.2837476976895152,-0.0566968797591115,0.2003531325433609,-0.0854110223476389,0.1491770595800698,0.3172142539274075,0.0605678226511854,0.0956627817924,0.0655684095277507,-0.049329462732049,-0.0381646105419537,0.108702466670617,-0.0147253648210725]"
5,5,r,-59.502246,258.062762,-12.25137,0.575693,60854.230119,1.199506,56.769704,296.131359,33.230296,"[-0.057043493077456,-0.2051669702288203,-0.2296992183680085,0.1124121764641938,0.1299974496491629,-0.0148703081410093,-0.0682461440937249,0.0287803341445237,0.015150902708159,-0.0341191714151333,0.0810523693763201,0.0998959052336543,0.1724954248526772,0.2008736332534359,-0.0169306266638865,-0.1259116568833885,-0.2841004465325586,-0.1267077382614282,-0.1041234923942328,0.084550211671952,-0.2928696815040244,-0.4560753778301118,0.1292080277047048,-0.1181695232174101,-0.0347651689557294,-0.0317005867918929,0.0517858441655837,0.0817995867929317,-0.0651735904005708,-0.0735542766440723,-0.098687169044174,0.172180954854897,-0.2339331414764037,0.0777405346296744,-0.1492161517496926,0.1687453860198327,0.0281272202914933,-0.1457304360617799,-0.0770677676044358,-0.1580971272851877,0.0739430941257855,0.2034041980691472,0.0373668642955456,-0.0690627239365339,0.0200528174289865,0.0644999853063506,0.1131027891771896,0.1955617401737403,0.0139462644902265,-0.1056273720736729]"
6,6,y,48.924956,188.578119,14.829515,0.395487,61899.122577,1.448944,43.884539,345.29203,46.115461,"[-0.129346782030843,0.2049955316038114,-0.4156126598425119,-0.040314161193517,-0.1069632305490926,0.2179780137728934,0.0742313244585388,0.1875743668395915,0.538168643044705,0.3094379359703589,-0.7676437987542649,-0.0280274004451726,-0.1896870978092905,0.0772814304178036,0.2435028338908982,0.641600971752504,0.1998672866089613,0.3502652568140429,-0.0026000365740686,0.0828892576580365,0.467920923842582,-0.026734197844329,-0.2544426911086314,-0.3376275244440742,0.2366144090595544,0.2846554219368315,0.3990545848759837,-0.1691001381110232,0.1491996872395319,0.1669232770309777,0.49917503298473,-0.0941898277505485,0.0661544226582803,-0.1849279940762954,0.3233780804971026,0.4698624309968311,0.4373538379764108,-0.2338094125842838,-0.2319771708130129,0.2328319797279271,-0.0303935739663525,0.2620229345990272,-0.2890043584042563,-0.327455124642141,0.0856501609380238,0.0128016071215136,-0.2968849668176704,-0.043586184132485,0.1262221792573206,0.0416696798728092]"
7,7,y,-54.442851,112.042557,-56.289688,1.044295,61157.095806,1.644427,37.528296,219.899152,52.471704,"[0.0176281927501179,0.0027172924233588,0.0282562695641187,-0.0247564109908114,-0.0249196641357496,0.0327520804943376,-0.0013027663096039,0.0026615862266072,-0.0037842469401328,-0.0195849402505581,0.0004337839770983,0.078406051747117,-0.0190985535661129,0.0627211300370221,0.0079249858920592,0.0559887838501052,-0.0022968793819869,0.0001801178997076,-0.048279337594864,0.0269672035264019,-0.0468019023392616,0.0418645535360474,0.0018861267959358,-0.0375214124518975,-0.0032447788922381,-0.0317215636200289,0.0079643331285569,0.0129654703984102,-0.0011606325382607,-0.0451562270677682,0.1085793118341787,-0.0071617114526824,-0.0089492755070326,-0.0016452421184337,0.0406347531194283,0.0097842885745214,-0.0936853344750153,0.0793333272091124,0.0075663993599719,0.0706027318456055,0.0571765424047715,0.0581569259332536,0.0109139608054549,0.030098331803431,-0.0545930732894982,0.0156747492936945,0.0232259037584533,-0.0325633827942287,-0.0609110140144877,-0.0414448540650462]"
8,8,z,-5.55924,9.866775,-1.238911,0.678543,62824.17009,1.462706,43.308301,301.31482,46.691699,"[0.0940632451777306,0.1464421069295597,-0.274334382563463,-0.2817259047579994,0.0981884103326778,0.1132610566523519,0.1120566558604754,-0.2062726519001968,0.1220640003886135,0.266511772856922,-0.0355630581605227,0.2650957727601645,0.2097429353720898,0.0741180925124899,0.1036144543146445,0.1871580580006411,-0.0356931995532326,0.0919250535016736,-0.2487380920300785,-0.0871127926144226,0.3155078045358196,0.3344370575877732,-0.1773446596937228,0.2192527718125999,0.4274334190554567,0.026550202925094,0.1778495600191217,0.129952437797363,0.10518531851216,0.2649119597279818,-0.2264105405732673,-0.1473667207200677,0.2257905849919911,-0.0710388114071147,-0.2855625726026327,-0.0317203795826926,-0.040998166850157,-0.0892651268362403,0.0473755662321124,0.1196726133497753,0.0190396807156447,-0.3827017109845107,-0.0579625620513204,-0.0789926815621524,-0.1832864301998012,-0.0565588856532292,-0.1651169598209583,-0.1043940058775415,0.0668582871593581,0.0083875055712693]"
9,9,i,51.925734,347.910337,-6.800756,1.071163,63446.31643,1.096955,65.654091,344.711063,24.345909,"[0.0150041155005733,0.0065987995497356,-0.0141354664140072,-0.0018066770987341,-0.0176782484186059,0.0121720989276049,0.0012764302122897,0.0109242575382333,0.0246603005077288,-0.0007066097258339,-0.0343127777001074,0.0967767666778677,0.0161627182737059,0.0358147137520631,0.0180574948639938,0.1092518741226004,0.1226417704131812,-0.0190146125423427,-0.0401784555324255,-0.0050428245334086,0.0585758959478407,0.0198598491928982,-0.0208127415333341,-0.002835577274257,-0.0014991414244527,-0.1069830091006434,0.0030959550723109,0.0153403371193572,-0.0164984386590093,-0.0388518588476095,0.0915321258202273,-0.0377625555025647,-0.0203859651511571,0.0476301431124989,0.0259767683207152,-0.1514952059522154,-0.0017997281489405,0.0777873519614726,0.0031797739421405,0.0733458402672208,-0.0100294242773128,0.0144586727047504,-0.0247759234119703,0.0160801971807396,-0.0545765993562682,0.0240823114456707,-0.0095545606175539,-0.1181299107052345,0.0015797966399681,-0.0428349777469033]"
10,10,i,-2.623082,339.466716,-34.483918,1.021947,63842.343714,1.448074,44.026797,249.889337,45.973203,"[0.0066596421680063,0.0822141183368628,-0.3080704683630984,0.4022891398901871,0.0783846103473835,0.2523106825499979,-0.114614191553802,-0.3065348586995993,0.1466414250719357,0.0708845095621484,-0.3985846935012831,-0.0508719893275018,0.2842060651829767,0.0239946022164275,-0.0835609350360008,0.3171340478601548,0.1914525203496958,0.1572247257247881,-0.2362101232769693,-0.2098965836095281,-0.170034842728755,-0.2614125755585955,-0.0696881990051205,0.0807847551587139,-0.20302990803902,-0.0132603672122144,0.0785912416284763,0.0011405505187177,-0.0265939550548908,-0.3352157687156027,0.2162734667919676,0.0775112925435773,-0.1194561013349805,-0.0990413757547359,0.2608289653162906,-0.0250078313945831,0.3871478344400845,-0.2264591462933932,-0.0599542178171892,-0.0758614921676909,0.3382110662604842,-0.1428412249280755,-0.1365481366369999,-0.1103431683390559,-0.0309471355115139,0.0012847164823218,0.0428236082907222,-0.110378275470828,-0.151669814997866,-0.0938228955100868]"
