state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
0,68,R01,S10,3,R01_S10,-169.26,-254.01,305.2377
0,68,R02,S10,12,R02_S10,-42.26,-254.01,257.5014
0,68,R03,S02,20,R03_S02,169.24,-296.26,341.1923
0,68,R10,S11,31,R10_S11,-254.01,-127.01,283.994
0,68,R11,S00,36,R11_S00,-169.25,-169.25,239.3556
0,68,R12,S02,47,R12_S02,42.25,-169.25,174.4438
0,68,R13,S00,54,R13_S00,84.75,-169.25,189.2832
0,68,R14,S01,64,R14_S01,254.0,-169.25,305.2238
0,68,R20,S00,72,R20_S00,-296.26,-42.26,299.2589
0,68,R21,S12,86,R21_S12,-84.75,0.0,84.75
0,68,R22,S02,92,R22_S02,42.25,-42.25,59.7505
0,68,R23,S10,102,R23_S10,84.75,0.0,84.75
0,68,R24,S00,108,R24_S00,211.75,-42.25,215.9239
0,68,R30,S12,122,R30_S12,-211.75,127.0,246.9151
0,68,R31,S11,130,R31_S11,-127.0,127.0,179.6051
0,68,R32,S10,138,R32_S10,-42.25,127.0,133.8434
0,68,R33,S11,148,R33_S11,127.0,127.0,179.6051
0,68,R34,S21,160,R34_S21,254.0,169.25,305.2238
0,68,R41,S11,166,R41_S11,-127.01,253.99,283.9762
0,68,R42,S22,179,R42_S22,42.24,296.24,299.2363
0,68,R43,S10,183,R43_S10,84.74,253.99,267.7532
1,221,R01,S02,2,R01_S02,-84.76,-296.26,308.1465
1,221,R02,S01,10,R02_S01,-0.01,-296.26,296.26
1,221,R03,S20,24,R03_S20,84.74,-211.76,228.0859
1,221,R10,S02,29,R10_S02,-211.76,-169.26,271.0927
1,221,R11,S00,36,R11_S00,-169.25,-169.25,239.3556
1,221,R12,S12,50,R12_S12,42.25,-127.0,133.8434
1,221,R13,S12,59,R13_S12,169.25,-127.0,211.6
1,221,R14,S02,65,R14_S02,296.25,-169.25,341.1885
1,221,R20,S22,80,R20_S22,-211.76,42.24,215.9317
1,221,R21,S21,88,R21_S21,-127.0,42.25,133.8434
1,221,R22,S21,97,R22_S21,0.0,42.25,42.25
1,221,R23,S12,104,R23_S12,169.25,0.0,169.25
1,221,R24,S21,115,R24_S21,254.0,42.25,257.4899
1,221,R30,S12,122,R30_S12,-211.75,127.0,246.9151
1,221,R31,S21,133,R31_S21,-127.0,169.25,211.6
1,221,R32,S01,136,R32_S01,0.0,84.75,84.75
1,221,R33,S00,144,R33_S00,84.75,84.75,119.8546
1,221,R34,S22,161,R34_S22,296.25,169.25,341.1885
1,221,R41,S21,169,R41_S21,-127.01,296.24,322.3192
1,221,R42,S00,171,R42_S00,-42.26,211.74,215.916
1,221,R43,S10,183,R43_S10,84.74,253.99,267.7532
2,225,R01,S01,1,R01_S01,-127.01,-296.26,322.3376
2,225,R02,S21,16,R02_S21,-0.01,-211.76,211.76
2,225,R03,S21,25,R03_S21,126.99,-211.76,246.9185
2,225,R10,S12,32,R10_S12,-211.76,-127.01,246.9288
2,225,R11,S02,38,R11_S02,-84.75,-169.25,189.2832
2,225,R12,S12,50,R12_S12,42.25,-127.0,133.8434
2,225,R13,S10,57,R13_S10,84.75,-127.0,152.6812
2,225,R14,S02,65,R14_S02,296.25,-169.25,341.1885
2,225,R20,S22,80,R20_S22,-211.76,42.24,215.9317
2,225,R21,S11,85,R21_S11,-127.0,0.0,127.0
2,225,R22,S02,92,R22_S02,42.25,-42.25,59.7505
2,225,R23,S02,101,R23_S02,169.25,-42.25,174.4438
2,225,R24,S01,109,R24_S01,254.0,-42.25,257.4899
2,225,R30,S02,119,R30_S02,-211.75,84.75,228.0803
2,225,R31,S11,130,R31_S11,-127.0,127.0,179.6051
2,225,R32,S10,138,R32_S10,-42.25,127.0,133.8434
2,225,R33,S11,148,R33_S11,127.0,127.0,179.6051
2,225,R34,S21,160,R34_S21,254.0,169.25,305.2238
2,225,R41,S01,163,R41_S01,-127.01,211.74,246.9117
2,225,R42,S12,176,R42_S12,42.24,253.99,257.4784
2,225,R43,S11,184,R43_S11,126.99,253.99,283.9672
3,384,R01,S21,7,R01_S21,-127.01,-211.76,246.9288
3,384,R02,S21,16,R02_S21,-0.01,-211.76,211.76
3,384,R03,S12,23,R03_S12,169.24,-254.01,305.2266
3,384,R10,S10,30,R10_S10,-296.26,-127.01,322.3376
3,384,R11,S22,44,R11_S22,-84.75,-84.75,119.8546
3,384,R12,S21,52,R12_S21,0.0,-84.75,84.75
3,384,R13,S21,61,R13_S21,127.0,-84.75,152.6812
3,384,R14,S01,64,R14_S01,254.0,-169.25,305.2238
3,384,R20,S21,79,R20_S21,-254.01,42.24,257.4982
3,384,R21,S01,82,R21_S01,-127.0,-42.25,133.8434
3,384,R22,S11,94,R22_S11,0.0,0.0,0.0
3,384,R23,S11,103,R23_S11,127.0,0.0,127.0
3,384,R24,S00,108,R24_S00,211.75,-42.25,215.9239
3,384,R30,S12,122,R30_S12,-211.75,127.0,246.9151
3,384,R31,S11,130,R31_S11,-127.0,127.0,179.6051
3,384,R32,S20,141,R32_S20,-42.25,169.25,174.4438
3,384,R33,S12,149,R33_S12,169.25,127.0,211.6
3,384,R34,S10,156,R34_S10,211.75,127.0,246.9151
3,384,R41,S12,167,R41_S12,-84.76,253.99,267.7596
3,384,R42,S11,175,R42_S11,-0.01,253.99,253.99
3,384,R43,S20,186,R43_S20,84.74,296.24,308.1217
