state_index,seqid,band,intra_seqnum,extra_seqnum,intra_focus_mm,extra_focus_mm,group_id,pointing_twin_seqid,rtp_deg,ra_deg,dec_deg,mjd,altitude_deg,azimuth_deg,zenith_deg,airmass,seeing,dof_norm,dof_stratum,alt_stratum,rtp_stratum,n_detectors,detector_ids,detector_names,author_config,author_config_sha256,dof_json,source_block
0,68,i,1,2,-1.5,1.5,2029-09-15T08:09:04.378,6068,51.333144,357.856162,-71.275984,62394.339634,41.64607,198.72664,48.35393,1.510994,0.938243,0.278716,0,0,4,21,3;12;20;31;36;47;54;64;72;86;92;102;108;122;130;138;148;160;166;179;183,R01_S10;R02_S10;R03_S02;R10_S11;R11_S00;R12_S02;R13_S00;R14_S01;R20_S00;R21_S12;R22_S02;R23_S10;R24_S00;R30_S12;R31_S11;R32_S10;R33_S11;R34_S21;R41_S11;R42_S22;R43_S10,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_68/68.yaml,5f67336cd0e12b21c4394b68137d2c442eba6d215355e8503d7ae968bee35f3d,"[0.0298627521656164,-0.0109118198938124,0.0350894327254747,-0.03376992404437,-0.0022753903177733,0.0113684841756349,-0.0177219405473111,-0.0041818693232595,-0.010247828892085,0.0286433337773849,0.0091021285580345,-0.0077525733396058,0.0413703023598322,0.0278355651383018,0.0678383493185503,0.0033120842001062,-0.0376301344669569,0.0472066740903674,-0.0312433062917234,-0.018656777179268,-0.0166807857210629,0.1380301140153458,0.0171180909728026,0.0182500587122128,-0.0690205389653748,-0.0276604093111162,-0.0210953411820018,0.0069025469754861,0.032929095617519,0.0116229396782183,-0.0212308317724919,-0.0369443470534338,-0.0234274430337091,-0.00171016450866,-0.0671712370685057,0.0565851213645157,-0.1132662145504097,0.04454004270935,0.0268988568755905,0.0173756528718498,0.0135346821238128,-0.0046352845152863,-0.0197987203423191,0.0427103121683231,-0.0168456105650554,0.0166563505525925,0.019996313038961,-0.0484226532242855,-0.0181489668549172,-0.0390429757133121]",carried_from_v1
1,221,i,3,4,-1.5,1.5,2034-04-05T00:58:11.338,6221,11.104466,145.055687,1.167934,64057.040409,57.772669,15.679044,32.227331,1.182994,0.525494,0.319275,0,2,2,21,2;10;24;29;36;50;59;65;80;88;97;104;115;122;133;136;144;161;169;171;183,R01_S02;R02_S01;R03_S20;R10_S02;R11_S00;R12_S12;R13_S12;R14_S02;R20_S22;R21_S21;R22_S21;R23_S12;R24_S21;R30_S12;R31_S21;R32_S01;R33_S00;R34_S22;R41_S21;R42_S00;R43_S10,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_221/221.yaml,17eadd5bcdce4c704a87a5f70c24ecc6f2cc222f8079cbe635803d92af355d08,"[-0.029757548081455,-0.0316593757725343,0.0183797884108411,-0.0112290772579047,0.0123385430053051,0.0012908426842388,-0.0044926758410808,-0.0013344881191053,-0.0030207781241065,0.0038807085226085,-0.1630834714557841,0.0133817417367442,-0.0192011671760044,-0.0153919370299357,0.055844313175114,-0.0723723241376792,-0.0680387303355421,-0.0465950356072555,0.0076134562371665,0.0401972160226053,-0.0349875574320876,0.0473786706483927,-0.0378077259797148,-0.0086762366629038,0.0559700254776966,-0.0665343350754123,0.0433301168221038,-0.0181886404814651,-0.0170985772690135,0.0060455534257661,0.0322472872212713,-0.0959475463866591,-0.0197918978091346,0.043820628280179,0.0090625887812206,0.0681625922556181,0.0905384686286073,0.0227094095279923,0.0119257353312803,0.0218384236567376,-0.0871578963368162,-0.034974009159228,-0.0066644773945042,0.0032993735646584,0.0226154053064066,-0.0529609503268199,0.0032137994098772,-0.0070853918764187,0.0092588013704915,-0.0338710944572491]",carried_from_v1
2,225,i,5,6,-1.5,1.5,2027-06-29T03:35:54.643,6225,31.797826,229.253715,-40.126569,61585.149938,63.319023,239.685616,26.680977,1.122221,1.226287,0.954653,2,2,3,21,1;16;25;32;38;50;57;65;80;85;92;101;109;119;130;138;148;160;163;176;184,R01_S01;R02_S21;R03_S21;R10_S12;R11_S02;R12_S12;R13_S10;R14_S02;R20_S22;R21_S11;R22_S02;R23_S02;R24_S01;R30_S02;R31_S11;R32_S10;R33_S11;R34_S21;R41_S01;R42_S12;R43_S11,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_225/225.yaml,abd723fcf3a7a97162890b92786d1bd3aa54e761b6152a64988ae34efbabf053,"[-0.1203567475904871,0.0286742657714942,-0.0641642005338763,0.2985569623584962,-0.0823985582208238,0.0413238436832815,0.1547176158057451,0.0256051546693478,0.0796420988568757,-0.0959945974258833,-0.2668175432171538,0.1012956215680132,0.2044286501928158,-0.0334934585061761,-0.0801187391380128,-0.0808656294797163,-0.1353278730504831,0.15407543437985,-0.1061772633432558,0.0371267639588727,-0.1387349179149964,-0.4052501091902361,-0.0379494199983002,0.1092987368042713,-0.1611054891618548,0.0779827342478793,0.0278264384689429,-0.0985060370760578,-0.0683094470248035,-0.2478745972331839,0.1712991493452089,0.0388303977379248,-0.1538793495958213,-0.0899949195618969,0.2010658525484371,-0.0002858647893414,0.0994049419909668,-0.1311777824821351,-0.0811313777192122,-0.1665338260215652,0.0570482998705353,-0.150701720691299,-0.1313809942460193,-0.0366698070166449,0.0806702661749745,0.0383688256493098,0.1483505847790587,0.0134888678247231,-0.0909599482137976,-0.0957388313864703]",carried_from_v1
3,384,i,7,8,-1.5,1.5,2031-09-15T02:15:56.938,6384,10.774202,266.730734,-22.090957,63124.094409,44.858776,268.035433,45.141224,1.42802,0.77011,0.358059,1,0,2,21,7;16;23;30;44;52;61;64;79;82;94;103;108;122;130;141;149;156;167;175;186,R01_S21;R02_S21;R03_S12;R10_S10;R11_S22;R12_S21;R13_S21;R14_S01;R20_S21;R21_S01;R22_S11;R23_S11;R24_S00;R30_S12;R31_S11;R32_S20;R33_S12;R34_S10;R41_S12;R42_S11;R43_S20,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_384/384.yaml,b1108fb90db5874d5336bb87b9493c4d9a62c4be61638abf7a5b00d59a8122e7,"[0.0440101887692017,-0.0441938060558856,0.0589432643933931,-0.0046713944339858,-0.0594727486180585,-0.0670514048975963,-0.0350852416499334,-0.0622775624788356,-0.1167868251624221,0.0175249130149344,0.0224222789300795,-0.063810495085148,-0.0224577583731823,-0.0260055380492112,0.0604048857490508,0.00563271135007,0.0640655813292743,0.0125124050388204,-0.0089759889234246,0.05095473913681,-0.0425449487778922,0.03070226293085,0.0014774242285716,-0.0481290912189029,0.0015898046017304,-0.0456448549654444,0.0211463997279703,0.0639929203715405,0.0160131568856003,-0.0041562900750863,0.0222365474977858,-0.0236777881425611,0.0467380500627648,0.0115186135714924,0.0796518307920857,-0.0039832010178828,-0.0657842539073931,0.1007991059887031,0.0114847330150094,0.1768994739077339,-0.0026518877040997,0.0667744252851896,0.0151170307076844,-0.0172208907757565,-0.044931767157307,0.018792548752183,-0.0060551874439815,-0.0043030158081204,-0.0286800966706031,-0.0387090269360754]",carried_from_v1
4,641,i,9,10,-1.5,1.5,2034-09-08T04:58:30.461,6641,43.073135,59.733849,-48.774187,64213.207297,35.804847,130.639873,54.195153,1.702898,1.000813,1.05754,2,0,3,21,8;17;20;27;44;51;61;63;73;84;96;99;109;124;128;143;145;159;169;173;187,R01_S22;R02_S22;R03_S02;R10_S00;R11_S22;R12_S20;R13_S21;R14_S00;R20_S01;R21_S10;R22_S20;R23_S00;R24_S01;R30_S21;R31_S02;R32_S22;R33_S01;R34_S20;R41_S21;R42_S02;R43_S21,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_641/641.yaml,fe87750853a7128636d22b81e6ddf6241c6ab5dc8abf14c1b71d1ab6aff68587,"[0.0084025920361244,-0.2932385148334294,-0.1328950821807814,0.1637036361149803,0.1591344707978088,0.1701428543813095,-0.1107528820847476,-0.1796184377835679,0.1545477976854126,0.1128452477616623,0.1970502692743249,0.2504726865443274,0.0168036548344342,0.2141363690203434,-0.1686842477048797,0.0108127523470079,-0.1137200580885603,-0.2037433861676676,-0.0522412772139679,-0.0678027030233995,-0.0674952355150887,0.4287091993094342,0.2136197064181563,-0.1075427719306824,-0.0134200377459305,-0.0491140324287096,-0.0422285592890404,0.0903363490687497,0.0746426841066868,0.1508798300022738,-0.1356990597055688,-0.1064824772959765,-0.0858611973088696,-0.1937262347878631,-0.0422842557778843,-0.0185178251341959,0.2056852681131151,0.1664983426538235,0.1404345121480298,0.0156696333848674,0.1419192462954218,0.1822845724691915,0.2740578071160681,0.0317279703776615,-0.0902406847058863,0.0359719780953537,-0.0973240614673956,-0.0884076391692984,0.0676707464065025,-0.0205024281203679]",carried_from_v1
5,719,i,11,12,-1.5,1.5,2025-07-16T23:06:48.989,6719,23.79957,187.637609,-20.860196,60872.963067,67.343055,288.640365,22.656945,1.086239,0.380594,1.173817,3,3,3,21,3;16;23;28;40;51;57;67;73;83;94;104;109;117;132;137;150;154;163;171;182,R01_S10;R02_S21;R03_S12;R10_S01;R11_S11;R12_S20;R13_S10;R14_S11;R20_S01;R21_S02;R22_S11;R23_S12;R24_S01;R30_S00;R31_S20;R32_S02;R33_S20;R34_S01;R41_S01;R42_S00;R43_S02,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_719/719.yaml,5689b3117b46f7da9323564112b9289288f31cd13cdf488b32fcf8963e47eeb1,"[0.1512743379468691,-0.0787575785513262,0.2073985438132246,-0.07804797039931,0.1636046412956078,0.246393977263675,-0.1404348297391346,0.1775278629543648,-0.201566537975562,0.1252809025575421,-0.1349289828434802,0.1251023453737822,0.0013065593185093,-0.0628993415301877,0.1662224638628912,0.0476079984484287,-0.0539101256897434,-0.149864013817124,-0.0953295503102606,0.0777980548754482,-0.1635906813888173,0.4136231688218351,0.0353255275213243,0.0251931160096713,0.0881241313110695,0.2263029675819295,-0.0420448333514105,-0.1460635386723543,0.2060557093442402,0.3335988330910823,-0.3974046123462275,-0.2065963541561132,0.0431447913187871,0.0546771149459364,0.0650776971573987,-0.0037682707447078,0.0145326694818126,0.1178977455675404,0.2134180461005763,-0.2294435005078124,0.1331426910306409,0.0213624644643314,0.2925834028863104,0.0661775008661077,0.1451884756108583,-0.0176724404100036,-0.3045947021476901,-0.0398323656354544,0.1168139968420467,-0.0354424791148516]",carried_from_v1
6,731,i,13,14,-1.5,1.5,2027-12-29T06:40:47.453,6731,-51.427264,157.790973,-43.734514,61768.278327,61.898312,127.687277,28.101688,1.131195,0.672815,1.211144,3,2,0,21,2;15;25;29;37;48;59;69;73;89;93;104;116;118;132;139;151;158;170;173;180,R01_S02;R02_S20;R03_S21;R10_S02;R11_S01;R12_S10;R13_S12;R14_S20;R20_S01;R21_S22;R22_S10;R23_S12;R24_S22;R30_S01;R31_S20;R32_S11;R33_S21;R34_S12;R41_S22;R42_S02;R43_S00,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_731/731.yaml,a76a5aef1e2f4fbf1704b6f32f3c4e069d59de91101524c0251e70e6a8bcb43e,"[-0.1403346628576542,0.0569766788866418,-0.4388482955540447,0.2885610773190978,-0.1154430243178378,0.2064465273788383,0.1134177564159698,-0.3951019052858773,0.2964118650004991,0.3523571296444719,-0.1737152950002982,0.0931397939275487,0.0925693721566223,-0.0891602443238865,-0.100773778236734,0.1319342495301676,-0.139964877047709,0.036630598015693,-0.1375254995674559,0.0597371952845375,0.2346974864366743,0.0846977216947387,-0.1550279350751728,0.1301583573047658,0.3142847923502213,0.1346803186458715,0.1931276285702242,0.1136646102577387,-0.0114651615563273,-0.0784970527425094,0.0059940580868857,0.0671092444708759,-0.1176123239257112,0.0781992693300812,-0.1543737790461873,0.1118808482094291,0.2969475645531025,0.0187976860893013,0.0362536279531439,0.0589311396368456,-0.1676555800439895,-0.2487439187533317,-0.2049480704240355,-0.0947888294227095,-0.1567508198853375,-0.0468766701022298,0.0137822688808758,-0.0581476556981584,-0.0325149521788962,-0.0402347850832047]",carried_from_v1
7,801,i,15,16,-1.5,1.5,2032-08-18T04:30:00.086,6801,62.672744,348.316488,-0.511166,63462.187501,51.871281,42.96309,38.128719,1.264808,0.73572,0.595515,1,1,4,21,6;12;26;31;37;45;57;71;75;83;94;107;115;125;127;137;151;157;170;172;188,R01_S20;R02_S10;R03_S22;R10_S11;R11_S01;R12_S00;R13_S10;R14_S22;R20_S10;R21_S02;R22_S11;R23_S22;R24_S21;R30_S22;R31_S01;R32_S02;R33_S21;R34_S11;R41_S22;R42_S01;R43_S22,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_801/801.yaml,f55e6e5c018e8580dfdea62b5fdd8f26fb083fcb809d54d6ce3b81ed57c47b63,"[0.1278115341707293,0.0657174577220036,0.0130626689386346,0.0534940640879771,0.0492244715479721,0.0469615312983705,0.0538028270901562,0.0337152112212563,-0.0052012073634139,0.0267095531166056,0.0770796978033782,0.0430392419518467,0.1271418813345679,0.0397362173576941,0.0122096475975403,-0.0461970163753478,0.0758793241115226,-0.0412820687048038,-0.0451424987538135,-0.0343250224242224,-0.0485652335721777,0.0488266854596039,0.0530815181891035,0.1292732475818656,0.0321441257916861,0.2046626170303918,-0.0402780612041714,-0.1361428898476328,0.0323141308713347,0.0240336372956596,0.0205646500949652,-0.0495357208544817,-0.0232553572750966,-0.1334805856395151,-0.2380405897665226,-0.0861972163975155,-0.0960395732117767,0.0269738017594755,0.0608577235491155,-0.0011455142068032,0.0940488464686807,-0.1227936921409052,0.1008657912248378,0.0442659915571922,0.1134136906309397,0.0017895854184254,-0.044727741015586,-0.1687217532005013,0.0526761451051581,-0.1137180591397745]",carried_from_v1
8,1009,i,17,18,-1.5,1.5,2032-07-10T10:16:55.920,7009,-25.269992,334.938752,-19.437803,63423.428425,54.849638,279.462634,35.150362,1.227572,0.778926,1.085286,2,1,1,21,8;17;19;28;38;51;60;66;75;88;96;107;111;125;127;137;145;154;167;171;186,R01_S22;R02_S22;R03_S01;R10_S01;R11_S02;R12_S20;R13_S20;R14_S10;R20_S10;R21_S21;R22_S20;R23_S22;R24_S10;R30_S22;R31_S01;R32_S02;R33_S01;R34_S01;R41_S12;R42_S00;R43_S20,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_1009/1009.yaml,5daaf5df3d04482da6547068aa14810224fafe55f44af7a8add8bb111146c552,"[0.0230803628135542,-0.0454210754978922,-0.2088528141325061,-0.122533092890028,0.0233865155343801,-0.0329767043525608,-0.1148233301163106,-0.2627239422502948,0.1526068829493255,0.2360928377572224,-0.0294154747150443,-0.0764671009204037,0.2642861127823613,0.051150130298003,0.0662430382767901,0.1418757348689012,-0.1357100415943834,0.1149252575475786,-0.1275529577964176,-0.0882227135897018,0.3325930438367402,0.307043747491886,-0.0734425994555143,0.2077671575193486,0.4297111262011371,0.1287398155052278,0.0716488643931189,0.0930043878555266,0.0036086158623493,0.1620539411800469,-0.0523057700026405,-0.0987852980553851,0.0904703580428709,-0.0793609476305852,-0.0821243049555757,0.2267762566902014,0.008493279949085,-0.0716041194074055,-0.0377164150909104,0.2684152925134108,-0.0116562586513916,-0.2905546856232114,0.0151689519599179,0.0200301815337661,-0.189968396900053,-0.0125397131367499,-0.0097698961752303,-0.1157410437507859,-0.0298482276932821,-0.0002400087837728]",carried_from_v1
9,1044,i,19,20,-1.5,1.5,2031-11-05T06:51:43.315,7044,78.81688,71.327051,-42.378999,63175.285918,77.300503,196.720718,12.699497,1.025549,0.690766,1.079072,2,3,4,21,8;13;22;35;39;45;56;71;80;86;90;99;115;120;131;142;147;161;168;177;185,R01_S22;R02_S11;R03_S11;R10_S22;R11_S10;R12_S00;R13_S02;R14_S22;R20_S22;R21_S12;R22_S00;R23_S00;R24_S21;R30_S10;R31_S12;R32_S21;R33_S10;R34_S22;R41_S20;R42_S20;R43_S12,/sdf/data/rubin/shared/aos_group/final_imsim_simulation/perturbation_1044/1044.yaml,58e2fdace8818c558ba38dfb9fef7db35c87416cbc611ff55e5ce0fc23cf2aa3,"[-0.1963177231616536,-0.0148556146717089,-0.0514283490386313,-0.1731913968662442,-0.334174280527783,-0.0611609843006382,-0.0559480757342618,-0.0951064801531679,-0.0767514964106785,0.1961975877268177,0.1254611572934467,-0.0387314603847337,0.0936097716175586,0.2628591370971656,-0.0741184188839518,0.1933506318902625,-0.0303671442133151,-0.3035421937950878,-0.0623389472187272,0.0884525586987028,-0.0512206789533866,0.3136915060711756,0.0968028909361135,0.0141816042633712,-0.0888121567069998,-0.20989575762093,-0.056596529948464,0.0125748967967053,-0.0188553317011572,0.0526746463864878,0.0710035203583167,0.1436875806218619,-0.2849042024573168,-0.3623575979104984,-0.0242426723368139,0.2075962065787776,-0.2091383934876639,0.0565982455880849,0.1882651881961806,0.0260670912603995,-0.1511224190285993,0.0865735292086879,0.1605212005875761,0.0236584152271484,0.0042675908765274,-0.0137779934276571,0.0674737995138228,-0.2713353749477548,-0.0032355812778945,-0.0963236966377247]",carried_from_v1
