opd_hdu,detector_id,detector_name,detector_type,focal_x_mm,focal_y_mm,camera_height_mm,field_x_deg,field_y_deg,field_inversion_residual_mm
0,0,R01_S00,DetectorType.SCIENCE,-169.26000000000002,-296.26,0.0,-1.6444502976466717,-0.939511433807047,6.355287432313019e-14
1,14,R02_S12,DetectorType.SCIENCE,42.239999999999995,-254.01,0.0,-1.410557392762324,0.23456534888500702,6.99803436660041e-14
2,25,R03_S21,DetectorType.SCIENCE,126.99,-211.76,0.0,-1.1759912166350723,0.7052282045735162,2.0495186137532011e-13
3,32,R10_S12,DetectorType.SCIENCE,-211.76000000000002,-127.00999999999999,0.0,-0.7053392416840262,-1.1759911646249057,1.4210854715202004e-13
4,43,R11_S21,DetectorType.SCIENCE,-127.0,-84.75,0.0,-0.47080489991001123,-0.705512947357775,1.2710574864626038e-13
5,46,R12_S01,DetectorType.SCIENCE,0.0,-169.25,0.0,-0.9401780528634613,0.0,5.684341886080802e-14
6,56,R13_S02,DetectorType.SCIENCE,169.25,-169.25,0.0,-0.9399456018178866,0.9399456018178866,1.6077746776921858e-13
7,64,R14_S01,DetectorType.SCIENCE,254.0,-169.25,0.0,-0.9396501291140387,1.4101691745640519,1.4210854715202004e-13
8,73,R20_S01,DetectorType.SCIENCE,-254.01000000000002,-42.25999999999999,0.0,-0.234676408562124,-1.4105573719561075,3.4466816133644055e-13
9,88,R21_S21,DetectorType.SCIENCE,-127.0,42.25,0.0,0.23471886751463047,-0.7055454715824396,8.644125458514252e-14
10,92,R22_S02,DetectorType.SCIENCE,42.25,-42.25,0.0,-0.23474748953526733,0.23474748953526733,4.0194366942304644e-14
11,104,R23_S12,DetectorType.SCIENCE,169.25,0.0,0.0,0.0,0.9401780528634613,5.684341886080802e-14
12,113,R24_S12,DetectorType.SCIENCE,296.25,0.0,0.0,0.0,1.6448130874608509,5.115907697472721e-13
13,124,R30_S21,DetectorType.SCIENCE,-254.00000000000003,169.25,0.0,0.9396501291140392,-1.4101691745640523,2.842170943040401e-14
14,131,R31_S12,DetectorType.SCIENCE,-84.75,127.0,0.0,0.705512947357775,-0.47080489991001123,1.2710574864626038e-13
15,140,R32_S12,DetectorType.SCIENCE,42.25,127.0,0.0,0.7055454715824396,0.23471886751463047,8.644125458514252e-14
16,144,R33_S00,DetectorType.SCIENCE,84.75,84.75,0.0,0.47084084504579954,0.47084084504579954,1.2058310082691391e-13
17,161,R34_S22,DetectorType.SCIENCE,296.25,169.25,0.0,0.9394560049659044,1.644394927451398,6.355287432313019e-14
18,169,R41_S21,DetectorType.SCIENCE,-127.01,296.24,0.0,1.644522853311203,-0.7050730745309743,1.797546735911271e-13
19,178,R42_S21,DetectorType.SCIENCE,-0.010000000000001563,296.24,0.0,1.644757652261432,-5.552111977658956e-05,5.684342150778591e-14
20,184,R43_S11,DetectorType.SCIENCE,126.99,253.99,0.0,1.4102693091624081,0.7051068922813268,1.0247593068766006e-13
