state_index,split_group_id,split
0,68,train
1,221,test
2,225,train
3,384,train
4,641,train
5,719,train
6,731,train
7,801,train
8,1009,val
9,1044,train
10,1225,train
11,1569,train
12,1657,test
13,1835,train
14,1967,train
15,1980,train
16,2094,train
17,2195,train
18,2337,test
19,2350,train
20,2444,train
21,2678,train
22,3339,test
23,3365,val
24,3429,train
25,3578,val
26,3701,train
27,3871,train
28,3923,test
29,4069,train
30,4393,test
31,4437,train
32,4475,train
33,4494,train
34,4520,train
35,4752,val
36,4847,train
37,4895,train
38,4902,train
39,4954,train
40,5020,train
41,5304,train
42,5523,train
43,5562,val
44,5565,val
45,5586,train
46,5745,train
47,5843,train
48,5970,train
49,5995,train
50,115,train
51,123,train
52,394,train
53,506,train
54,620,train
55,650,train
56,720,train
57,1458,test
58,1567,train
59,1883,train
60,1901,train
61,2032,train
62,2468,test
63,2624,train
64,2640,train
65,2669,train
66,2922,train
67,3033,train
68,3076,train
69,3077,train
70,3118,train
71,3204,val
72,3298,train
73,3329,train
74,3365,val
75,3419,train
76,3445,train
77,3562,train
78,3698,train
79,3712,train
80,3766,train
81,3884,train
82,3979,train
83,3993,train
84,4010,train
85,4014,train
86,4174,train
87,4287,train
88,4311,train
89,4325,val
90,4437,train
91,4895,train
92,4945,train
93,5034,test
94,5095,train
95,5452,test
96,5717,train
97,5865,train
98,5970,train
99,5981,train
100,25,train
101,28,train
102,54,train
103,75,train
104,115,train
105,126,train
106,135,train
107,139,test
108,148,val
109,149,train
110,173,train
111,199,train
112,202,train
113,236,train
114,277,train
115,289,train
116,290,test
117,309,train
118,313,train
119,321,train
120,326,train
121,330,train
122,352,val
123,353,train
124,369,train
125,380,train
126,388,train
127,390,val
128,405,train
129,458,train
130,473,val
131,481,train
132,496,train
133,520,train
134,521,train
135,559,train
136,562,train
137,565,val
138,567,train
139,586,train
140,612,train
141,631,train
142,640,train
143,646,test
144,684,test
145,700,train
146,709,train
147,730,val
148,742,train
149,743,train
150,746,val
151,751,test
152,774,train
153,779,train
154,798,test
155,819,test
156,900,train
157,905,train
158,912,train
159,914,train
160,917,train
161,924,train
162,951,train
163,953,test
164,972,train
165,986,train
166,997,train
167,1004,test
168,1020,train
169,1027,train
170,1028,train
171,1050,train
172,1055,train
173,1119,train
174,1134,train
175,1140,train
176,1166,train
177,1183,test
178,1210,train
179,1220,train
180,1237,train
181,1259,train
182,1282,train
183,1300,train
184,1327,val
185,1344,train
186,1348,train
187,1370,train
