visit,day_obs,seq_num,rotator_angle,science_program,band,alt,az,mjd
2025041700666,20250417,666,0.012974568387693227,BLOCK-T379_0,i,1.25704531192307,4.83162004491157,60783.281085048206
2025041700669,20250417,669,-0.07850724229919244,BLOCK-T379_0,i,1.25059712959006,4.82553957628479,60783.282279159306
2025041700672,20250417,672,-0.11845976915932836,BLOCK-T379_0,i,1.24415960555306,4.8196349038327,60783.283468539696
2025041700675,20250417,675,-0.20139037182192646,BLOCK-T379_0,i,1.2378156606136,4.81397281089095,60783.2846419984
2025041700678,20250417,678,-0.23171424752738573,BLOCK-T379_0,i,1.23123424147668,4.80825264239672,60783.2858574039
2025041700681,20250417,681,0.01855974622466244,BLOCK-T379_0,i,1.25707327762735,4.83164725850053,60783.28735799091
2025041700684,20250417,684,-0.0785703981216535,BLOCK-T379_0,i,1.2504435076239,4.82539730979549,60783.28858350575
2025041700687,20250417,687,-0.1167330396165081,BLOCK-T379_0,i,1.24396901378415,4.81946529913655,60783.28978227505
2025041700690,20250417,690,-0.20160640228068039,BLOCK-T379_0,i,1.23733120366497,4.81354824221145,60783.29100740925
2025041700693,20250417,693,-0.23425411442632582,BLOCK-T379_0,i,1.23074730925749,4.80783613382149,60783.2922203739
2025041700696,20250417,696,0.02381731433082071,BLOCK-T379_0,i,1.25709065235786,4.831663050129,60783.2937260029
2025041700699,20250417,699,-0.07864181956558396,BLOCK-T379_0,i,1.25064814744319,4.82559010926978,60783.2949180582
2025041700702,20250417,702,-0.10816321178172277,BLOCK-T379_0,i,1.24411421871302,4.81959630451233,60783.2961270769
2025041700705,20250417,705,-0.20266273724985528,BLOCK-T379_0,i,1.23764860333123,4.81382761015174,60783.297319419304
2025041700708,20250417,708,-0.22201142169365437,BLOCK-T379_0,i,1.23114456979459,4.80817561308215,60783.2985221322
2025041700711,20250417,711,0.02813974887838806,BLOCK-T379_0,i,1.2570736256899,4.83164735303025,60783.3000657674
2025041700714,20250417,714,-0.07869911793946613,BLOCK-T379_0,i,1.25056024511757,4.82550503601272,60783.301271006305
2025041700717,20250417,717,-0.10495471936635552,BLOCK-T379_0,i,1.24393855216937,4.81943710443234,60783.30249530295
2025041700720,20250417,720,-0.20430860193748313,BLOCK-T379_0,i,1.23746252455489,4.81366421589657,60783.3036917594
2025041700723,20250417,723,-0.21937892959966535,BLOCK-T379_0,i,1.23096140337558,4.80801903732611,60783.30489121325
2025041700726,20250417,726,0.031788905548596307,BLOCK-T379_0,i,1.25703364697916,4.83160910431009,60783.306430899305
2025041700729,20250417,729,-0.07809050163326382,BLOCK-T379_0,i,1.2505613526565,4.8255056530382,60783.30763053315
2025041700732,20250417,732,-0.10033019304684211,BLOCK-T379_0,i,1.24399507761145,4.81948866252138,60783.308843794744
2025041700735,20250417,735,-0.20339869726041976,BLOCK-T379_0,i,1.23758604381981,4.81377236077847,60783.3100257706
2025041700765,20250417,765,0.34342171850761255,BLOCK-T378_0,i,1.0375498519841,4.18081696131105,60783.354583346896
2025041700768,20250417,768,0.22574050994362227,BLOCK-T378_0,i,1.03170475054811,4.18263788283438,60783.3558293988
2025041700771,20250417,771,0.7126925106944996,BLOCK-T378_0,i,1.02591244250908,4.18434745389297,60783.3570609081
2025041700774,20250417,774,0.5998359490869521,BLOCK-T378_0,i,1.02018071346953,4.18595193081799,60783.35828063145
2025041700777,20250417,777,1.071367844599553,BLOCK-T378_0,i,1.01457385932882,4.18743751101076,60783.35947253055
2025041700780,20250417,780,0.3490270398761277,BLOCK-T378_0,i,1.03754228534056,4.18081939020336,60783.36104878765
2025041700783,20250417,783,0.2257477664208433,BLOCK-T378_0,i,1.03181197634821,4.1826039021094,60783.3622693497
2025041700786,20250417,786,0.7060460659513778,BLOCK-T378_0,i,1.02617753845779,4.18427132424237,60783.3634676349
2025041700789,20250417,789,0.5937213711281264,BLOCK-T378_0,i,1.02054954452677,4.18585074210585,60783.364667452144
2025041700792,20250417,792,1.0641815240238697,BLOCK-T378_0,i,1.01488099816822,4.18735709016293,60783.36586939715
2025041700795,20250417,795,0.35330411568626713,BLOCK-T378_0,i,1.03755086117158,4.18081544606048,60783.3674108109
2025041700798,20250417,798,0.22554511380443096,BLOCK-T378_0,i,1.03174788047629,4.18262408591414,60783.3686460143
2025041700801,20250417,801,0.7165950040797168,BLOCK-T378_0,i,1.02618517140775,4.18426934076261,60783.36982871175
2025041700804,20250417,804,0.591733692914833,BLOCK-T378_0,i,1.02052995204029,4.18585627914783,60783.371031696995
2025041700807,20250417,807,1.0683995147851078,BLOCK-T378_0,i,1.01496994209574,4.18733410006643,60783.372211419846
2025041700810,20250417,810,0.35878717922971093,BLOCK-T378_0,i,1.03753639815195,4.18082211655983,60783.3737587498
2025041700813,20250417,813,0.2261148005922691,BLOCK-T378_0,i,1.03172457367567,4.18263038636262,60783.37499524235
2025041700816,20250417,816,0.7228635200433362,BLOCK-T378_0,i,1.02618091689941,4.1842706427239,60783.376174070945
2025041700819,20250417,819,0.5858431526754203,BLOCK-T378_0,i,1.0206192392744,4.1858314970463,60783.377357534395
2025041700822,20250417,822,1.0724838802677474,BLOCK-T378_0,i,1.01485913976587,4.18736281963029,60783.3785805894
2025041700825,20250417,825,0.3630173655013694,BLOCK-T378_0,i,1.03753592218634,4.18082171439096,60783.38015064
2025041800687,20250418,687,0.3251395846111201,BLOCK-T378_1,i,1.04458294691301,4.20689747112015,60784.3455141178
2025041800690,20250418,690,0.20998408788847348,BLOCK-T378_1,i,1.03865089619081,4.20854954365838,60784.3467584162
2025041800693,20250418,693,0.6888614655976208,BLOCK-T378_1,i,1.03294429627038,4.21005072555941,60784.3479549265
2025041800696,20250418,696,0.5642429936683789,BLOCK-T378_1,i,1.02715550044019,4.21148768314636,60784.34916825955
2025041800699,20250418,699,1.034575365964554,BLOCK-T378_1,i,1.02152054354962,4.2128081715123,60784.35034793995
2025041800702,20250418,702,0.3305457545318469,BLOCK-T378_1,i,1.04457588888038,4.20689939392258,60784.35186369535
2025041800705,20250418,705,0.2098770185378732,BLOCK-T378_1,i,1.03883488543746,4.20849907097176,60784.35306856615
2025041800708,20250418,708,0.6831189699240231,BLOCK-T378_1,i,1.03307628585783,4.21001637097438,60784.354274946
2025041800711,20250418,711,0.5703366018355036,BLOCK-T378_1,i,1.0272605900283,4.21146257423125,60784.35549368815
2025041800714,20250418,714,1.028878792982884,BLOCK-T378_1,i,1.02162210199739,4.21278447574461,60784.35667542715
2025041800717,20250418,717,0.3367452511718216,BLOCK-T378_1,i,1.04455350750689,4.20690548114604,60784.35822595175
2025041800720,20250418,720,0.21013025149869774,BLOCK-T378_1,i,1.03876716409093,4.20851750717782,60784.359443074
2025041800723,20250418,723,0.6890690534959668,BLOCK-T378_1,i,1.03301552728615,4.21003173450833,60784.360649017195
