noll,count,bias_um,rmse_um,std_um,correlation,danish_polar_rms_um,tarts_polar_rms_um,color_limit_um
4,12600,2.6433881538694203e-20,0.02082138223628831,0.02082220853079967,0.6746475758586042,0.02141427750686004,0.027999842836516634,0.061
5,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
6,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
7,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
8,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
9,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
10,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
11,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
12,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
13,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
14,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
15,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
16,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
17,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
18,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
19,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
22,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
23,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
24,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
25,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
26,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
