ordinal,day_obs,build_used,branch,visits,pairs,first_mjd,last_mjd,mean_mjd,resid_rms_z5,corr_z5,resid_rms_z6,corr_z6,resid_rms_z7,corr_z7,resid_rms_z8,corr_z8,resid_rms_combined,corr_combined,cwfs_resid_rms_combined,cwfs_corr_combined,block_index,display_x,panel
0,20250417,False,danish,12,33206,60783.281085048206,60783.2949180582,60783.287910647115,0.1075817594864581,0.649089099633746,0.09170485850084532,0.6417740688292967,0.0747062665046157,0.7640628242573452,0.08523683262677521,0.7448874250511719,0.09059519846295075,0.6999533544428899,0.09325770322759992,0.7546914236258795,0,0.1638143738382496,0.0
1,20250417,False,danish,12,33165,60783.2961270769,60783.3100257706,60783.30310955629,0.11768298435357727,0.6054853039722439,0.09234453274304158,0.6446034523818784,0.08067477549928945,0.7257303255665513,0.0856087797106729,0.7380338830816204,0.0951499869933074,0.6784632412505736,0.09784203435087556,0.7479751550240102,1,0.5285881940508261,0.0
2,20250417,False,danish,12,33780,60783.354583346896,60783.3686460143,60783.361550521884,0.11027147772058904,0.6048338619599108,0.08385982739051592,0.6801411434175164,0.09584725494493058,0.6322395748387,0.08015471671331789,0.7475561502732201,0.09327880833892585,0.6661926826223368,0.09303336494973068,0.749747948830327,2,1.9311713682836853,0.0
3,20250417,False,danish,9,25445,60783.36982871175,60783.38015064,60783.37489873951,0.10126114313714324,0.6653138362486276,0.09442701686726021,0.6020715334866671,0.092609390168962,0.6532743777270693,0.084248359914836,0.7341165471046509,0.09333349602326277,0.6636940736417538,0.09685545366955316,0.7406512400747464,3,2.2515285912668332,0.0
4,20250418,False,danish,12,33548,60784.3455141178,60784.359443074,60784.35239908405,0.07917128093227085,0.7291621479742062,0.0753912792967016,0.7393004402900316,0.07628061205675256,0.7446343407875746,0.08978053109119151,0.688372906892739,0.08036045709367731,0.7253674589861379,0.07789829742244031,0.794247058266442,4,4.694342800969025,0.0
5,20250418,False,danish,12,33462,60784.3606490172,60784.3745533338,60784.36763151203,0.08236798608192789,0.719213295959477,0.07703320264482845,0.7254903320565119,0.07800027958952069,0.7345480127462533,0.09137604069129655,0.6801159150380736,0.08238965934717286,0.7148418889500789,0.0822307850923392,0.7785491760864036,5,5.05992107259226,0.0
6,20250420,False,danish,12,34925,60786.30653650935,60786.32048057621,60786.31344456737,0.08917296804460924,0.6282430168583252,0.09219497279853235,0.6629496119100019,0.07164526337347889,0.7843140278155641,0.07324369176971814,0.7630294748567542,0.08208138246143222,0.7096340328601614,0.09562138802050851,0.6951996434700125,6,7.831783664948307,0.0
7,20250420,False,danish,12,34287,60786.32168116105,60786.33576427265,60786.328711384645,0.09465745736460364,0.6388666354511411,0.09306448076913047,0.6552650154636858,0.06566259030241314,0.8235924128564636,0.06784257294282908,0.8009298264057698,0.0814481772114718,0.729663472544265,0.0927546531391086,0.7443188807852112,7,8.19818727952661,0.0
8,20250420,False,danish,12,34422,60786.3404368639,60786.35469738895,60786.347436210715,0.09481087165362527,0.6219928734809079,0.0951034234362577,0.6121962301537938,0.07208175454941812,0.780338414855536,0.06478371915999864,0.821294471211922,0.08280469814590907,0.7089554974255399,0.0916489510810143,0.7288884236772426,8,8.647583105205559,0.0
9,20250420,False,danish,12,33709,60786.355892223146,60786.3700018369,60786.3630240643,0.09387860365922435,0.6401793921935461,0.0943651489957737,0.6434986069746479,0.06926932316141923,0.7995200004889564,0.062402513401287545,0.8389496270051757,0.08125620957815978,0.7305369066655815,0.09085593340900822,0.7576681592697725,9,9.021691591315903,0.0
10,20250421,False,danish,12,34385,60787.25065698495,60787.264541679295,60787.25752122881,0.10677287949035848,0.5307287365267822,0.08407104405513711,0.7270419151257134,0.09231046886785146,0.5990696246941464,0.11290404371799129,0.2830485409944071,0.09967062505279588,0.5349722043352623,0.08896970912987996,0.7851311006814109,10,11.092316055565608,0.0
11,20250421,False,danish,12,34846,60787.26576459955,60787.27973196255,60787.27277387525,0.10415085645341927,0.5389245712447474,0.08283755071657467,0.724227572687265,0.09513818588007253,0.5649746815464961,0.10930911121705027,0.3139930986356951,0.09837329022188201,0.5355299810285509,0.09220943971026387,0.7483510510720451,11,11.458379570231774,0.0
12,20250421,False,danish,8,22943,60787.3155412906,60787.324449767446,60787.31998952897,0.10198633808443001,0.580084888444002,0.0959142991874772,0.6611544801572522,0.1016635728278766,0.5172641399842218,0.11318961779350005,0.24838787294097214,0.10337811369054879,0.501722845381612,0.10590931745246879,0.6999543634942766,12,12.591555259551388,0.0
13,20250421,False,danish,12,33288,60787.3522989983,60787.366268575104,60787.359213860975,0.09184370847494021,0.6249950532127354,0.08554405807730428,0.7244276323698333,0.08378428837022801,0.6844211118570733,0.10727803178325654,0.3346369516268813,0.09257623309975127,0.5921201872666308,0.09547901946101145,0.72823520421069,13,13.532939227600583,0.0
14,20250421,False,danish,8,21684,60787.367488043805,60787.376340382354,60787.37196035928,0.09487583668672896,0.6169232664825222,0.08748910971623056,0.7256687020875388,0.0949759913635915,0.5889308526303897,0.1133913109605427,0.2525248163345846,0.09815013632541857,0.5460119093837588,0.1046012324788856,0.6756950896418362,14,13.838855187012815,0.0
17,20250424,False,danish,7,19454,60790.31188350284,60790.3577396473,60790.33734953811,0.13724271723001621,0.5541671795958063,0.09671917145468185,0.614887713460005,0.0948331936232566,0.7066242825081308,0.0834914666984682,0.7259572767970377,0.10506464817411924,0.650409113090245,0.11506149377916244,0.730325451646489,15,16.50488685363671,0.0
21,20250513,False,danish,12,32490,60809.2711303492,60809.2905501653,60809.2807635424,0.10875767853341434,0.5755315413677523,0.11920074865479395,0.5530102997319188,0.10384877330559619,0.4694156731727716,0.1436142266307143,0.2240921854309327,0.11984016952555612,0.4555124249258439,0.12907222529298482,0.42148216718203046,16,19.73521756679984,0.0
22,20250513,False,danish,12,30742,60809.29225130336,60809.31195991676,60809.302208127134,0.10989797722083194,0.5663302877867352,0.10514691801269868,0.5819798276028982,0.11004466427902983,0.42303208042252527,0.14513475110825866,0.22024694663648872,0.11864586368721441,0.4478972856121618,0.13763800049284772,0.37995078709066665,17,20.24988760033157,0.0
23,20250520,False,danish,6,16953,60816.2251318283,60816.2571503544,60816.242218162464,0.0740102126897695,0.7606328289700439,0.08398328856938335,0.7588016596106353,0.06270268692316334,0.8665331570525919,0.08448359682430419,0.6591338636668127,0.0768111473372665,0.7612753773250209,0.08334337787591423,0.7879647463369042,18,23.56982544740313,0.0
56,20250907,False,danish,12,32487,60926.077846902655,60926.0960648066,60926.08697959734,0.12377715755748785,0.5328690908621364,0.09455839255629377,0.6250501307401918,0.10865542036481932,0.6209306862963313,0.10843459077569605,0.49513471714694623,0.10934593635246531,0.5684961562614015,0.11338450819141822,0.7150072894649258,19,26.299263351003177,0.0
57,20250907,False,danish,12,32320,60926.09769522855,60926.11612403925,60926.10704023149,0.12132511635972094,0.5362152603248089,0.09228041750641866,0.6475331745221299,0.10715925165755127,0.6453265240683957,0.10678114258142173,0.5227591762852593,0.10737874200890403,0.5879585338001485,0.11249394169737612,0.7240773687554228,20,26.78071857050527,0.0
58,20250907,False,danish,11,31811,60926.12627861776,60926.1623383245,60926.14453719183,0.0957108510472617,0.668370788380721,0.0856642066278381,0.6691727946320245,0.08990620939893777,0.7348810325753729,0.08735537911596278,0.6928083513208755,0.08973991872955325,0.6913082417272484,0.10350905417641759,0.7203475458631636,21,27.680645618750717,0.0
62,20250912,False,danish,12,32860,60931.17049703405,60931.1945490021,60931.18079739193,0.14268147673569137,0.31438008066501666,0.13686664918850966,0.32832524577571626,0.12371695014707051,0.5084247486999186,0.14285377121934664,0.06998982694050034,0.13675120398816457,0.305279975520288,0.1237297261172285,0.601609961021882,22,29.841184329753744,0.0
63,20250912,False,danish,12,32223,60931.19616023296,60931.22570672295,60931.21037607577,0.15029332062798817,0.28189333143527884,0.144525790260115,0.27617905457937797,0.12869190052839075,0.45523994875813345,0.14637420673978177,0.04521376340247115,0.1427084439828348,0.2646315245438154,0.126633798527669,0.5745929586526536,23,30.55107274190523,0.0
64,20250912,False,danish,9,26220,60931.2363811157,60931.262403130895,60931.25277675715,0.14427890423278522,0.29539024959356863,0.15056132053055984,0.20191669229426978,0.12713199278327178,0.47457415569116046,0.14060916626510298,0.1163990925619578,0.1409065245768737,0.27207004753523917,0.13086579746923213,0.5723891328855999,24,31.56868909513578,0.0
65,20250912,False,danish,9,25822,60931.27019307465,60931.2966820983,60931.27957064993,0.14723138131486854,0.2685101800005406,0.15917186892867102,0.15819342173738912,0.14020592398703635,0.42512882804565344,0.1407248798780355,0.14829858394989082,0.1470322723417179,0.2500327534333685,0.13818377480107047,0.5431243953512923,25,32.2117425218341,0.0
66,20250912,False,danish,10,25954,60931.3244158376,60931.36184197465,60931.343282573755,0.14574862482427337,0.29393736688421795,0.14260483971321855,0.2524062349363957,0.12495119520203767,0.4494007594114544,0.12830138919762632,0.3002796937571455,0.13569529247569537,0.32400601374730337,0.13088523190252704,0.5407614349980535,26,33.74082869359991,0.0
72,20250921,False,danish,12,35408,60940.194509061,60940.21518806495,60940.204602543185,0.0705779470432706,0.7760442820164504,0.08159637591841488,0.6938770169423426,0.046003113425108745,0.9204127940462571,0.05937709348520584,0.8807601532668639,0.06572887654489516,0.8177735615679784,0.07742658474694612,0.7549964300141385,27,36.42087557820487,0.0
73,20250921,False,danish,12,34999,60940.21683574845,60940.236810920105,60940.22691812677,0.0738733980350802,0.7524008478250094,0.07823515698898541,0.713285994218091,0.051069492568539085,0.8977221883853871,0.06414295946505011,0.8255641060891536,0.06763954288447645,0.7972432841294104,0.07853299772221584,0.7617202753379606,28,36.956449584238,0.0
