ordinal,day_obs,build_used,branch,visits,pairs,first_mjd,last_mjd,mean_mjd,resid_rms_z5,corr_z5,resid_rms_z6,corr_z6,resid_rms_z7,corr_z7,resid_rms_z8,corr_z8,resid_rms_combined,corr_combined,cwfs_resid_rms_combined,cwfs_corr_combined,block_index
0,20250417,False,danish,12,33206,60783.281085048206,60783.2949180582,60783.287910647115,0.1075817594864581,0.649089099633746,0.09170485850084532,0.6417740688292967,0.0747062665046157,0.7640628242573452,0.08523683262677521,0.7448874250511719,0.09059519846295075,0.6999533544428899,0.09325770322759992,0.7546914236258795,0
0,20250417,False,tarts,12,33206,60783.281085048206,60783.2949180582,60783.287910647115,0.0919560762816061,0.42865413971598415,0.06736161065653773,0.6663229174382356,0.05238102669099963,0.6004357269110863,0.0590065139642518,0.6363361743346931,0.06931638912040967,0.5829372395999998,0.08819723796112099,0.6820843218461219,0
1,20250417,False,danish,12,33165,60783.2961270769,60783.3100257706,60783.30310955629,0.11768298435357727,0.6054853039722439,0.09234453274304158,0.6446034523818784,0.08067477549928945,0.7257303255665513,0.0856087797106729,0.7380338830816204,0.0951499869933074,0.6784632412505736,0.09784203435087556,0.7479751550240102,1
1,20250417,False,tarts,12,33165,60783.2961270769,60783.3100257706,60783.30310955629,0.103644609048313,0.3657317802823018,0.05883512990509612,0.7453940902247996,0.04491509587467336,0.6842556838638822,0.05365040488827985,0.6606431614504595,0.06910048711448177,0.6140061789553608,0.09071984588847938,0.6622430409125892,1
2,20250417,False,danish,12,33780,60783.354583346896,60783.3686460143,60783.361550521884,0.11027147772058904,0.6048338619599108,0.08385982739051592,0.6801411434175164,0.09584725494493058,0.6322395748387,0.08015471671331789,0.7475561502732201,0.09327880833892585,0.6661926826223368,0.09303336494973068,0.749747948830327,2
2,20250417,False,tarts,12,33780,60783.354583346896,60783.3686460143,60783.361550521884,0.10164983078567288,0.2720696161795626,0.06672661488152766,0.6647046651993859,0.05823675901473036,0.6772043246675807,0.04291760935702728,0.712285314789248,0.0707434988634394,0.5815659802089443,0.10621733233707523,0.5778964739298302,2
3,20250417,False,danish,9,25445,60783.36982871175,60783.38015064,60783.37489873951,0.10126114313714324,0.6653138362486276,0.09442701686726021,0.6020715334866671,0.092609390168962,0.6532743777270693,0.084248359914836,0.7341165471046509,0.09333349602326277,0.6636940736417538,0.09685545366955316,0.7406512400747464,3
3,20250417,False,tarts,9,25445,60783.36982871175,60783.38015064,60783.37489873951,0.1151456702376249,0.27677897651450195,0.07127926274707015,0.5954627108032825,0.0611464093511052,0.6545052986710098,0.04190568792395299,0.7498324811210961,0.07719169114799594,0.5691448667774726,0.11016840789043315,0.5944115343347854,3
4,20250418,False,danish,12,33548,60784.3455141178,60784.359443074,60784.35239908405,0.07917128093227085,0.7291621479742062,0.0753912792967016,0.7393004402900316,0.07628061205675256,0.7446343407875746,0.08978053109119151,0.688372906892739,0.08036045709367731,0.7253674589861379,0.07789829742244031,0.794247058266442,4
4,20250418,False,tarts,12,33548,60784.3455141178,60784.359443074,60784.35239908405,0.10304818264219126,0.25416806155718685,0.08183681102110366,0.6425609065191462,0.059844660311523495,0.4636456129719167,0.03076720883523204,0.8266130098189235,0.07389891083648435,0.5467468977167933,0.10364745240676025,0.5567079812573195,4
5,20250418,False,danish,12,33462,60784.3606490172,60784.3745533338,60784.36763151203,0.08236798608192789,0.719213295959477,0.07703320264482845,0.7254903320565119,0.07800027958952069,0.7345480127462533,0.09137604069129655,0.6801159150380736,0.08238965934717286,0.7148418889500789,0.0822307850923392,0.7785491760864036,5
5,20250418,False,tarts,12,33462,60784.3606490172,60784.3745533338,60784.36763151203,0.10683063843823853,0.22825718545513554,0.08103012394124204,0.643175706959118,0.07379904176894328,0.46580842592606314,0.041283809740031874,0.769580374918711,0.07926114717773153,0.5267054233147569,0.10982270275711996,0.5404793550723452,5
6,20250420,False,danish,12,34925,60786.30653650935,60786.32048057621,60786.31344456737,0.08917296804460924,0.6282430168583252,0.09219497279853235,0.6629496119100019,0.07164526337347889,0.7843140278155641,0.07324369176971814,0.7630294748567542,0.08208138246143222,0.7096340328601614,0.09562138802050851,0.6951996434700125,6
6,20250420,False,tarts,12,34925,60786.30653650935,60786.32048057621,60786.31344456737,0.17615897536472952,0.16948638419186354,0.07231107290002214,0.743480168076853,0.08060043669734618,0.21362170691994556,0.045822640382095506,0.450906412572449,0.10589738031803886,0.39437366794027784,0.13560900932855538,0.4767846789308535,6
7,20250420,False,danish,12,34287,60786.32168116105,60786.33576427265,60786.328711384645,0.09465745736460364,0.6388666354511411,0.09306448076913047,0.6552650154636858,0.06566259030241314,0.8235924128564636,0.06784257294282908,0.8009298264057698,0.0814481772114718,0.729663472544265,0.0927546531391086,0.7443188807852112,7
7,20250420,False,tarts,12,34287,60786.32168116105,60786.33576427265,60786.328711384645,0.161597283243569,0.22297393386489697,0.07901207162941783,0.7218920295088701,0.07562373264112034,0.1509144757472594,0.04865247680490516,0.4497287186993193,0.10055173028434419,0.3863772894550864,0.12577432205946715,0.44672059334029346,7
8,20250420,False,danish,12,34422,60786.3404368639,60786.35469738895,60786.347436210715,0.09481087165362527,0.6219928734809079,0.0951034234362577,0.6121962301537938,0.07208175454941812,0.780338414855536,0.06478371915999864,0.821294471211922,0.08280469814590907,0.7089554974255399,0.0916489510810143,0.7288884236772426,8
8,20250420,False,tarts,12,34422,60786.3404368639,60786.35469738895,60786.347436210715,0.15649109710543688,0.2241580338453533,0.0775319742133978,0.7217864240179469,0.07531620571634459,0.253909789418351,0.05057219436367385,0.2982234749014221,0.09840064555803762,0.3745194305457683,0.12058048040258924,0.4021751512184033,8
9,20250420,False,danish,12,33709,60786.355892223146,60786.3700018369,60786.3630240643,0.09387860365922435,0.6401793921935461,0.0943651489957737,0.6434986069746479,0.06926932316141923,0.7995200004889564,0.062402513401287545,0.8389496270051757,0.08125620957815978,0.7305369066655815,0.09085593340900822,0.7576681592697725,9
9,20250420,False,tarts,12,33709,60786.355892223146,60786.3700018369,60786.3630240643,0.1610289648597607,0.23213296913504983,0.07414156411212008,0.674845178680457,0.06582587784994368,0.2838221749313629,0.06099798372831969,0.13702514166334406,0.0993492567491495,0.33195636610255347,0.12184939795611231,0.45674799354502543,9
10,20250421,False,danish,12,34385,60787.25065698495,60787.264541679295,60787.25752122881,0.10677287949035848,0.5307287365267822,0.08407104405513711,0.7270419151257134,0.09231046886785146,0.5990696246941464,0.11290404371799129,0.2830485409944071,0.09967062505279588,0.5349722043352623,0.08896970912987996,0.7851311006814109,10
