noll,count,bias_um,rmse_um,std_um,correlation,danish_polar_rms_um,tarts_polar_rms_um,color_limit_um
4,12600,-8.811293846231401e-21,0.02065176550686296,0.020652585070151053,0.6592102478991235,0.02141427750686004,0.027047096066789778,0.06
5,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
6,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
7,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
8,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
9,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
10,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
11,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
12,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
13,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
14,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
15,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
16,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
17,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
18,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
19,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
22,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
23,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
24,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
25,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
26,12600,0.0,0.0,0.0,,0.0,0.0,1e-08
